INFO:p2p_network:[charlie] P2P Node initialized on 127.0.0.1:9003
INFO:full_node:[charlie] Blockchain initialized - Height: 0
INFO:full_node:[charlie] Restored 6 block(s) from disk - Height: 6
INFO:p2p_network:[charlie] P2P Server listening on 127.0.0.1:9003
INFO:__main__:Starting RPC server on 127.0.0.1:8003
INFO:wsgi_server:Serving with waitress on 127.0.0.1:8003 (threads=16)
INFO:waitress:Serving on http://127.0.0.1:8003
INFO:p2p_network:[charlie] Connected to peer: bob
INFO:p2p_network:[charlie] Connected to peer: alice at 127.0.0.1:9001
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 7
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 8
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 9
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 10
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 11
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 12
INFO:p2p_network:[charlie] Connected to peer: alice
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 13
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 14
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 15
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 16
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 17
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 18
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 19
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 20
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 21
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 22
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 23
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 24
INFO:full_node:[charlie] Synced -> Height: 25
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 26
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 27
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 28
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 29
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 30
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 31
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 32
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 33
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 34
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 35
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 36
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 37
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 38
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 39
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 40
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 41
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 42
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 43
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 44
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 45
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 46
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 47
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 48
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 49
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 50
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 51
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 52
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 53
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 54
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 55
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 56
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 57
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 58
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 59
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 60
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 61
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 62
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 63
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 64
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 65
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 66
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 67
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 68
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 69
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 70
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 71
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 72
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 73
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 74
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 75
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 76
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 77
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 78
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 79
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 80
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 81
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 82
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 83
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 84
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 85
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 86
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 87
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 88
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 89
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 90
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 91
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 92
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 93
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 94
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 95
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 96
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 97
